bpm,source,timestamp
64,awake,2023-10-11T06:04:25+00:00
65,awake,2023-10-11T06:06:13+00:00
67,awake,2023-10-11T06:06:45+00:00
67,awake,2023-10-11T06:06:46+00:00
62,awake,2023-10-11T06:08:15+00:00
72,awake,2023-10-11T06:09:29+00:00
68,awake,2023-10-11T06:09:51+00:00
70,awake,2023-10-11T06:18:15+00:00
74,awake,2023-10-11T06:18:20+00:00
67,awake,2023-10-11T06:18:54+00:00
68,awake,2023-10-11T06:23:17+00:00
65,awake,2023-10-11T06:23:31+00:00
65,awake,2023-10-11T06:25:31+00:00
61,awake,2023-10-11T06:25:34+00:00
62,awake,2023-10-11T06:25:35+00:00
60,awake,2023-10-11T06:36:28+00:00
63,awake,2023-10-11T06:37:37+00:00
56,awake,2023-10-11T06:37:57+00:00
61,awake,2023-10-11T06:45:44+00:00
56,awake,2023-10-11T06:46:03+00:00
58,awake,2023-10-11T06:46:20+00:00
60,awake,2023-10-11T06:48:10+00:00
57,awake,2023-10-11T06:48:23+00:00
64,awake,2023-10-11T06:48:30+00:00
55,awake,2023-10-11T06:51:54+00:00
60,awake,2023-10-11T06:52:07+00:00
57,awake,2023-10-11T06:52:12+00:00
64,awake,2023-10-11T07:00:52+00:00
60,awake,2023-10-11T07:00:57+00:00
58,awake,2023-10-11T07:01:22+00:00
62,awake,2023-10-11T07:05:21+00:00
57,awake,2023-10-11T07:05:42+00:00
60,awake,2023-10-11T07:05:45+00:00
60,awake,2023-10-11T07:10:50+00:00
63,awake,2023-10-11T07:11:06+00:00
62,awake,2023-10-11T07:11:08+00:00
67,awake,2023-10-11T07:15:55+00:00
60,awake,2023-10-11T07:16:06+00:00
73,awake,2023-10-11T07:17:12+00:00
56,rest,2023-10-11T07:20:01+00:00
55,awake,2023-10-11T07:21:34+00:00
57,awake,2023-10-11T07:22:21+00:00
53,awake,2023-10-11T07:22:22+00:00
50,rest,2023-10-11T07:34:01+00:00
55,rest,2023-10-11T07:39:45+00:00
56,rest,2023-10-11T07:44:45+00:00
54,rest,2023-10-11T07:49:45+00:00
55,rest,2023-10-11T07:54:45+00:00
57,rest,2023-10-11T07:59:45+00:00
57,rest,2023-10-11T08:04:45+00:00
57,rest,2023-10-11T08:09:45+00:00
58,rest,2023-10-11T08:14:45+00:00
59,rest,2023-10-11T08:19:45+00:00
59,rest,2023-10-11T08:24:45+00:00
57,rest,2023-10-11T08:29:45+00:00
58,rest,2023-10-11T08:34:45+00:00
57,rest,2023-10-11T08:39:45+00:00
56,rest,2023-10-11T08:44:45+00:00
58,rest,2023-10-11T08:49:45+00:00
57,rest,2023-10-11T08:54:45+00:00
56,rest,2023-10-11T08:59:45+00:00
58,rest,2023-10-11T09:04:45+00:00
60,rest,2023-10-11T09:09:45+00:00
61,rest,2023-10-11T09:14:45+00:00
56,rest,2023-10-11T09:19:45+00:00
59,rest,2023-10-11T09:24:45+00:00
63,rest,2023-10-11T09:29:45+00:00
59,rest,2023-10-11T09:34:45+00:00
62,rest,2023-10-11T09:39:45+00:00
62,rest,2023-10-11T09:44:45+00:00
54,rest,2023-10-11T09:49:45+00:00
57,rest,2023-10-11T09:54:45+00:00
54,rest,2023-10-11T09:59:45+00:00
53,rest,2023-10-11T10:04:45+00:00
53,rest,2023-10-11T10:09:45+00:00
52,rest,2023-10-11T10:14:45+00:00
54,rest,2023-10-11T10:19:45+00:00
53,rest,2023-10-11T10:24:45+00:00
54,rest,2023-10-11T10:29:45+00:00
56,rest,2023-10-11T10:34:45+00:00
